 t , MV , MVP , MVI , MVD , MVFF , SP , PV , DV , Man
0.000000000000000000e+00,5.000000000000000000e+01,1.104528426207729694e+02,-6.045284262077296944e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.925000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.112348096481766646e+02,-6.180568684044326488e+01,5.708771922666007193e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.905000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.114693997563977916e+02,-6.205743338806087905e+01,5.880336316630895288e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.898999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.115866948105083338e+02,-6.210162196938924950e+01,5.149271588809185562e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.113521047022872352e+02,-6.155676554188853800e+01,2.046608396012997155e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.901999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.106092360262537113e+02,-6.021631590590228456e+01,-3.929201203514268714e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.921000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.103355475666624130e+02,-5.984888812819217208e+01,-4.866594384702409570e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.103355475666624130e+02,-5.998026049689124761e+01,-3.552870697711687509e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.090844003228164922e+02,-5.791161850672976641e+01,-1.172781816086727158e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.960000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.088498102145953794e+02,-5.782235444668239666e+01,-1.027455767912980100e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.966000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.078332530789705572e+02,-5.634101580241599549e+01,-1.492237276554559067e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.992000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.065821058351246506e+02,-5.457929037433241604e+01,-2.002815460792235491e+00,0.000000000000000000e+00,5.750000000000000000e+01,3.023999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.061911223214227959e+02,-5.444352275581560008e+01,-1.747599565607195427e+00,0.000000000000000000e+00,5.750000000000000000e+01,3.033999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.052918602399085302e+02,-5.335951156985807842e+01,-1.932348670050454409e+00,0.000000000000000000e+00,5.750000000000000000e+01,3.057000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.040407129960626094e+02,-5.171659299454352521e+01,-2.324120001519085044e+00,0.000000000000000000e+00,5.750000000000000000e+01,3.089000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
