 t , MV , MVP , MVI , MVD , MVFF , SP , PV , DV , Man
0.000000000000000000e+00,5.000000000000000000e+01,1.150273497310846409e+02,-6.502734973108464089e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.807999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.152619398393057395e+02,-6.543320299698571318e+01,1.712631576799771849e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.153792348934162959e+02,-6.558989761445121758e+01,2.106627210349221180e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.152619398393057395e+02,-6.533010316291701258e+01,6.816332361127240558e-02,0.000000000000000000e+00,5.750000000000000000e+01,2.801999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000711e+01,1.153792348934162959e+02,-6.551462929528472046e+01,1.353944018684301864e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.141280876495703751e+02,-6.331352919970014170e+01,-8.145584498702340692e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.141280876495703751e+02,-6.353341699914295759e+01,-5.946706504274195115e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.138543991899790768e+02,-6.322045121872953644e+01,-6.339479712495402763e-01,0.000000000000000000e+00,5.750000000000000000e+01,2.837999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.128769404057244543e+02,-6.170052844467799957e+01,-1.176411961046453847e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.120949733783207591e+02,-6.066525337844772992e+01,-1.429719999873027669e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.882999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.114693997563977916e+02,-5.996892696026209535e+01,-1.500472796135695841e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.898999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.103355475666624130e+02,-5.841235132085007109e+01,-1.923196245812341720e+00,0.000000000000000000e+00,5.750000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
