 t , MV , MVP , MVI , MVD , MVFF , SP , PV , DV , Man
0.000000000000000000e+00,5.000000000000000000e+01,7.983883349791803141e+01,-2.983883349791803141e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.207999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,4.999999999999999289e+01,8.058170217395154111e+01,-3.112403550660480889e+01,5.423333326532661092e-01,0.000000000000000000e+00,5.250000000000000000e+01,3.189000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,8.069899722806209752e+01,-3.118056075718603637e+01,4.815635291239374061e-01,0.000000000000000000e+00,5.250000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,8.085539063354283940e+01,-3.132113285904732081e+01,4.657422255044828541e-01,0.000000000000000000e+00,5.250000000000000000e+01,3.182000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,8.148096425546579269e+01,-3.227768240984110548e+01,7.967181543753137918e-01,0.000000000000000000e+00,5.250000000000000000e+01,3.166000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.999999999999999289e+01,8.069899722806209752e+01,-3.070976632912801207e+01,1.076910106591444372e-02,0.000000000000000000e+00,5.250000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.999999999999999289e+01,8.069899722806209752e+01,-3.070685924009623236e+01,7.862012034134788566e-03,0.000000000000000000e+00,5.250000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000711e+01,8.069899722806209752e+01,-3.070473691170389330e+01,5.739683641796299897e-03,0.000000000000000000e+00,5.250000000000000000e+01,3.185999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000711e+01,7.956514503832673313e+01,-2.874156338146608292e+01,-8.235816568606485477e-01,0.000000000000000000e+00,5.250000000000000000e+01,3.214999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,7.944784998421617672e+01,-2.876096033771580096e+01,-6.868896465003763163e-01,0.000000000000000000e+00,5.250000000000000000e+01,3.217999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,7.858768625407209640e+01,-2.745825565534508073e+01,-1.129430598727014790e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.239999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.999999999999999289e+01,7.819670274037024171e+01,-2.708672021020172949e+01,-1.109982530168513559e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.250000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000711e+01,7.796211263214912890e+01,-2.698050365670303918e+01,-9.816089754460887162e-01,0.000000000000000000e+00,5.250000000000000000e+01,3.256000000000000227e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,7.694555549652432092e+01,-2.548678879768048233e+01,-1.458766698843839027e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.282000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,7.604629341501006934e+01,-2.432480797861749622e+01,-1.721485436392572010e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.304999999999999716e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,7.569440825267840012e+01,-2.418073830951242797e+01,-1.513669943165971032e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.314000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,7.440416265746229385e+01,-2.235715635948717761e+01,-2.047006297975114464e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.346999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000711e+01,7.327031046772692946e+01,-2.094811592649331899e+01,-2.322194541233610021e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.375999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,7.315301541361637305e+01,-2.137205928381948894e+01,-1.780956129796882337e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.378999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,7.201916322388100866e+01,-1.989119934415742108e+01,-2.127963879723588025e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.407999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,7.151088465606858335e+01,-1.958628856206163249e+01,-1.924596094006949532e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.421000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,7.065072092592451725e+01,-1.861769931013273549e+01,-2.033021615791781311e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.442999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,7.065072092592451725e+01,-1.916650786940475371e+01,-1.484213056519765095e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.442999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,6.936047533070841098e+01,-1.733497411434439073e+01,-2.025501216364020252e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.475999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,4.999999999999999289e+01,6.889129511426617114e+01,-1.707004603079961313e+01,-1.821249083466559338e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.488000000000000256e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,6.810932808686249018e+01,-1.620884296133102609e+01,-1.900485125531463204e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.507999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,6.685818084301656938e+01,-1.455732291034846781e+01,-2.300857932668102013e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.539999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,6.674088578890599877e+01,-1.497550650923643012e+01,-1.765379279669568202e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.542999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,6.560703359917063437e+01,-1.349044164198777551e+01,-2.116591957182859751e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,6.459047646354584060e+01,-1.230311229808560114e+01,-2.287364165460238574e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.597999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,6.435588635532471358e+01,-1.251472665890609193e+01,-1.841159696418622094e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,6.306564076010861442e+01,-1.077954966152024241e+01,-2.286091098588372006e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,6.271375559777693098e+01,-1.078789372851103501e+01,-1.925861869265895310e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.646000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,6.181449351626268651e+01,-9.752003958127051675e+00,-2.062489558135635725e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,6.056334627241676571e+01,-8.144216555416678105e+00,-2.419129717000087165e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,5.993777265049378400e+01,-7.714978552409899493e+00,-2.222794098083884506e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.717000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,5.931219902857083781e+01,-7.232740292389570058e+00,-2.079458736181267753e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.732999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,5.817834683883547342e+01,-5.832460305284941526e+00,-2.345886533550531450e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.761999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,5.802195343335473865e+01,-6.195157039391525622e+00,-1.826796393963213028e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,5.677080618950881075e+01,-4.523744919238408713e+00,-2.247061270270402034e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,5.575424905388397434e+01,-3.371635405360900783e+00,-2.382613648523073557e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.824000000000000199e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,5.512867543196102815e+01,-2.932539990718471046e+00,-2.196135441242557107e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.839999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,5.426851170181696205e+01,-2.037252034154304781e+00,-2.231259667662657264e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.861999999999999744e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,5.336924962030268915e+01,-1.083803554330626362e+00,-2.285446065972062790e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.885000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,5.000000000000000000e+01,5.297826610660082736e+01,-1.024331285568120808e+00,-1.953934821032706548e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.895000000000000284e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,5.000000000000000000e+01,5.172711886275490656e+01,6.127601680233869530e-01,-2.339879030778293512e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.927000000000000313e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,5.000000000000000000e+01,5.047597161890897866e+01,2.145667050204252746e+00,-2.621638669113231401e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.959000000000000341e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.000000000000000000e+01,4.985039799698603247e+01,2.520238321984108687e+00,-2.370636318970141154e+00,0.000000000000000000e+00,5.250000000000000000e+01,3.975000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
