 t , MV , MVP , MVI , MVD , MVFF , SP , PV , DV , Man
0.000000000000000000e+00,5.000000000000000000e+01,1.185071030030311050e+02,-6.850710300303110500e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.185071030030311050e+02,-6.850710300303110500e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,4.999999999999999289e+01,1.183898079489205628e+02,-6.830417637008058307e+01,-8.563157883998351316e-02,0.000000000000000000e+00,5.250000000000000000e+01,2.221999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,4.999999999999999289e+01,1.185071030030311050e+02,-6.853021901077363509e+01,2.311600774252299539e-02,0.000000000000000000e+00,5.250000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.181552178406994358e+02,-6.791519900960003042e+01,-2.400188310994066931e-01,0.000000000000000000e+00,5.250000000000000000e+01,2.228000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.999999999999999289e+01,1.172559557591851700e+02,-6.642422057623858223e+01,-8.317351829465937652e-01,0.000000000000000000e+00,5.250000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.172559557591851700e+02,-6.664874518724276697e+01,-6.072105719424000236e-01,0.000000000000000000e+00,5.250000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000711e+01,1.172559557591851700e+02,-6.681266000082563039e+01,-4.432957583595346640e-01,0.000000000000000000e+00,5.250000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.162393986235603762e+02,-6.517362897850627235e+01,-1.065769645054101211e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.276999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,4.999999999999999289e+01,1.160048085153392634e+02,-6.505547727901976884e+01,-9.493312363195014481e-01,0.000000000000000000e+00,5.250000000000000000e+01,2.282999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000711e+01,1.154965299475268523e+02,-6.443239787642673377e+01,-1.064132071100114763e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.296000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.147536612714933426e+02,-6.343445537559725977e+01,-1.319205895896080394e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.139716942440896332e+02,-6.243772713693086729e+01,-1.533967107158765053e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.335000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.134634156762772221e+02,-6.197246856982812346e+01,-1.490947106449098669e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.348000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.126032519461331560e+02,-6.088681697372994961e+01,-1.716434972403205528e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.369999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.122122684324313013e+02,-6.067374173486341959e+01,-1.538526697567882850e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.380000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.111957112968064934e+02,-5.933036527378833114e+01,-1.865346023018162214e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.405999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.108438261344748241e+02,-5.922513037194238450e+01,-1.618695762532439630e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.414999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.097099739447394455e+02,-5.770046869515480381e+01,-2.009505249584643938e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.444000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.090844003228164922e+02,-5.716065370070899831e+01,-1.923746622107493476e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.460000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.083024332954127829e+02,-5.632711955815857152e+01,-1.975313737254210000e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.480000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.071685811056774185e+02,-5.489872591679046820e+01,-2.269855188886949815e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.508999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.065430074837544652e+02,-5.442919166800187014e+01,-2.113815815752597693e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.525000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.059174338618314977e+02,-5.391753502223804162e+01,-1.999898839593459599e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.541000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.047835816720961333e+02,-5.249577806121290280e+01,-2.287803610883229588e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.569999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.042753031042837222e+02,-5.223401557222467773e+01,-2.041287532059040899e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.582999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,1.034151393741396419e+02,-5.129692685108170735e+01,-2.118212523057934504e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.605000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.021248937789235498e+02,-4.963653949756836425e+01,-2.488354281355185105e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.637999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.018903036707024228e+02,-4.990241058398164142e+01,-1.987893086720780467e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.644000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.008737465350776148e+02,-4.868033933614218256e+01,-2.193407198935428681e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,9.985718939945280681e+01,-4.751374605418290997e+01,-2.343443345269895062e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.696000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,9.950530423712113759e+01,-4.753757220145649853e+01,-1.967732035664635948e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.705000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,9.837145204738577320e+01,-4.610713190072487322e+01,-2.264320146660898647e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,9.774587842546280569e+01,-4.563610348260426974e+01,-2.109774942858536395e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.750000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,9.708120645216965272e+01,-4.505571380340133913e+01,-2.025492648768315807e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,9.583005920832374613e+01,-4.343793918738755622e+01,-2.392120020936186808e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,9.547817404599207691e+01,-4.347490546855596705e+01,-2.003268577436106757e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.807999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,9.457891196447781113e+01,-4.245991142483757130e+01,-2.119000539640237157e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,9.344505977474243252e+01,-4.107030563815399660e+01,-2.374754136588438591e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.860000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,9.332776472063189033e+01,-4.150843731279986315e+01,-1.819327407832029841e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.862999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,9.203751912541576985e+01,-3.976736674952577033e+01,-2.270152375889997298e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,9.192022407130522765e+01,-4.017726146833195600e+01,-1.742962602973268771e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.898999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,9.078637188156984905e+01,-3.868614528124201257e+01,-2.100226600327835591e+00,0.000000000000000000e+00,5.250000000000000000e+01,2.928000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
